"","AA","AXP","BA","BAC","C","CAT","CVX","DD","DIS","GE","GM","HD","HPQ","IBM","INTC","JNJ","JPM","AIG","KO","MCD","MMM","MRK","MSFT","PFE","PG","T","UTX","VZ","WMT","XOM"
"1987-03-16",-0.0244660521544064,-0.00632913505164767,-0.0181587350118715,-0.00714288751238024,0,-0.0108109161042156,0.0203052661607457,0,-0.0217137602237845,-0.00806455983673049,-0.0118251279398156,-0.0210534091978324,-0.0112995552539332,-0.00169348050633289,0.0307716586667537,-0.0108109161042156,-0.0122059056795036,0,-0.0204088716312072,-0.0123968529768288,-0.00607904607638199,0.0132160513915263,0,-0.005633817718256,-0.0226638595772117,-0.00252844635335858,-0.00250941160542584,-0.004590673708599,-0.0198682032167252,-0.00597016698650377
"1987-03-17",0.0244660521544064,0.00790517950711322,0.00391901220073576,0.00714288751238024,0,0.00271370587159603,0.0329519105127858,0.0391329977021484,0.0359320092260633,0.020040750883446,0.00868540793514772,0,0.0444517625708336,0.0168071183163812,0.0588405000229333,0.0188430878014798,0.0122059056795036,0.0053523767385919,0.00770222036209245,0.0185381209989113,0.0217137602237845,0.0344119975977284,0.0408219945202553,0.005633817718256,0.0113961347308695,0,0.0100000833345832,0.00153256734977814,0.00998344398418327,0.0275607995788714
"1987-03-18",0,0.0125197253449278,0.00520157219607364,0.0176371414861067,0.0352459390616748,-0.0136427764037863,0.0208507954801904,0.02169282461126,0,-0.0119761910467155,-0.00393856357892819,0.0816780310142672,-0.0175443096509094,-0.00585041367817585,0.0141846349919564,-0.00803217169726422,-0.00347222571074912,0,-0.00256082086167386,-0.0185381209989113,-0.00358637563122777,0,0.0392207131532814,0.0111733005981253,0.0112677248463422,-0.00253485560318811,-0.00749067172915741,-0.0138784031720773,-0.00664454271866854,0.0115831410896308
"1987-03-19",0.0209275201059558,0.00155400186673438,-0.00520157219607364,0.0069686693160933,0.0256424306133376,0.0190481949706944,0,-0.0195022432314413,-0.00945633524203537,0,0.00550965581096952,0.0194180858571017,0.0326470778366661,0.00501673292959826,0.0413852161628544,0,-0.0017406444777841,0,0.0203052661607457,0.00207684394483931,0.0201548019784603,-0.00636269378782872,0.037740327982847,0.00554018037561532,0.011142176553242,0.0050633019565467,0.00250313021811843,0.00619197024792095,0.00332779009267448,-0.00577479949388393
"1987-03-20",-0.00296296513065686,-0.0188093319574962,0.0333364202675921,0.0172121288811216,-0.00847462699097223,0.0107239633629757,0.0188684843043829,0.023784905023442,0.00945633524203537,0.0198813705538289,0.00469852078155419,0.037740327982847,0.016985546365744,0.0111964677841239,-0.0136056520557786,0.013351333174864,-0.0034904049397686,0.0587388171716587,0,0.0185000137439202,0.0266373595282987,0.0252114193464961,-0.037740327982847,0.00550965581096963,0.00276625349289006,0.0175223506922024,0,0.00615386557437825,0.0229895182246989,0.00960622180544002
"1987-03-23",0.00296296513065686,-0.00475813744641695,-0.00632513177696881,-0.0034188067487857,0.0126851595273157,0.0158733491562901,0.0169888255864699,0.024275598405846,0.0209553651759882,0.0271861403041568,0.0139645403503725,0.0363676441708749,-0.0105821093305369,0.00739526788615708,0,0.0183973651397162,0.0104348772925797,0.0182881239941486,0.0124845566622453,0.0320668757966627,0.0113637586503148,-0.00207684394483931,0,0.00547946576462555,0.0109891215755953,0.00247831601446702,-0.00501254182354427,0.00916036939866438,0.0224728558520586,0.0282770960968615
"1987-03-24",0.0175957618903797,0.0220134675371788,-0.00254129742867271,-0.0207619914484292,0.0207907696690738,0,0.00153022218076759,-0.00417973440270769,0.0250297480658352,0.00763362485507113,0.00153964618559277,0.0176995770994007,-0.0280493038098997,0.0206610549822415,-0.0277795641070758,0,-0.00520382787502705,-0.0284062541597332,-0.0049751346401139,0.0272390381621836,-0.0033955890011379,-0.00208116620382448,0,0,-0.00273597981887486,0,-0.00503779402995708,0.00606062461169099,0.00947874395454384,-0.00186046565291975
"1987-03-25",0.00579711768432589,-0.00311526731694922,0.00254129742867271,-0.00701757265864655,-0.0207907696690738,0,-0.0185190477672375,0.00626306848956215,0.00448431244732861,-0.0114724011622368,0,-0.0176995770994007,-0.00438597194325419,0.0178824554646964,0,-0.023716526617316,0.0172418064345059,-0.00680274732275254,-0.00750942202213145,-0.00770716724493781,-0.0079681696491769,-0.0168071183163814,0,-0.0221003470006659,-0.0137933221323359,-0.00247831601446702,0,-0.00454202143450111,-0.0126583968719236,-0.00747667034302024
"1987-03-26",-0.0323082432326578,-0.00156128056695248,0.0113565889323359,0.0139862419747399,-0.0298529631496811,0.00262123347987409,0.00311042241439252,0.00104004169541394,0.0155386034277791,0.00383877630716567,0.00842594031407184,-0.0363676441708749,-0.00661523911871931,-0.010691054116589,0.0277795641070758,0.00531916147759981,-0.00514139950041859,-0.0034188067487857,-0.0101010959865038,0.00770716724493781,0.0079681696491769,0.0168071183163814,0,0.0111112254250707,0.00277392688272537,-0.00747201483870108,-0.0127066512691147,-0.00456274555841829,0.00634922767865875,0.00747667034302024
"1987-03-27",0,-0.0205216357207969,-0.0138978863610086,-0.0139862419747399,-0.00869570696755395,-0.00262123347987409,-0.025158559636155,-0.0210091760893434,-0.0133039656263627,-0.0232568621642673,-0.0270600198589648,-0.0186921330121526,-0.0178576174000062,-0.0213244853718968,0.0402738991379399,-0.0160431248405755,-0.00344234419097278,-0.024264621999631,-0.0205135398331031,-0.00577479949388393,-0.00113443007061198,-0.02531780798429,0.037740327982847,-0.0280130362276739,0.00276625349289006,0,-0.0391184165954714,-0.0122700925918142,-0.0256424306133376,-0.0150096626505654
